tokenizer,language,sentences,total_tokens,tok_per_sentence,tok_per_word,tok_per_grapheme,tok_per_byte,total_words,total_graphemes,total_bytes,ratio_tok_per_sentence_vs_eng,ratio_tok_per_word_vs_eng,ratio_tok_per_byte_vs_eng
gpt2,eng,500,13015,26.03,1.2434,0.2089,0.2087,10467,62303,62363,1.0,1.0,1.0
gpt2,hin,500,94017,188.034,7.7803,2.1895,0.5934,12084,42940,158437,7.22,6.26,2.84
gpt2,kan,500,171926,343.852,22.3049,4.0436,0.9773,7708,42518,175915,13.21,17.94,4.68
gpt2,tam,500,193205,386.41,24.5433,4.179,0.9942,7872,46232,194336,14.84,19.74,4.76
gpt2,tel,500,163699,327.398,20.31,4.0624,0.9875,8060,40296,165771,12.58,16.33,4.73
xlm-roberta-base,eng,500,14737,29.474,1.4079,0.2365,0.2363,10467,62303,62363,1.0,1.0,1.0
xlm-roberta-base,hin,500,18308,36.616,1.5151,0.4264,0.1156,12084,42940,158437,1.24,1.08,0.49
xlm-roberta-base,kan,500,20069,40.138,2.6037,0.472,0.1141,7708,42518,175915,1.36,1.85,0.48
xlm-roberta-base,tam,500,19610,39.22,2.4911,0.4242,0.1009,7872,46232,194336,1.33,1.77,0.43
xlm-roberta-base,tel,500,19317,38.634,2.3967,0.4794,0.1165,8060,40296,165771,1.31,1.7,0.49
